school_code,school_name,district,address,grade_class,class_regular,class_special,class_total,research_topic,research_year,research_total_years,ib_stage,future_year,future_total_years,latitude,longitude
7261210,대구사수초등학교,서부,대구광역시 북구 내곡로 124,나,35,2,37, ,,, ,, ,35.90066493,128.5153325
7251112,대구사월초등학교,동부,대구광역시 수성구 달구벌대로656길 46 ,가,47,0,47, ,,, ,, ,35.83396493,128.7149504
7261052,대구산격초등학교,서부,대구광역시 북구 산격로10길 14 ,다,13,1,14, ,,, ,, ,35.8946518,128.6063896
7251050,대구삼덕초등학교,동부,대구광역시 중구 달구벌대로447길 10 ,나,14,2,16,학교자율성(IB월드),2,2,월드,, ,35.86356374,128.6086302
7261218,대구삼영초등학교,서부,대구광역시 북구 내곡로 63,나,24,2,26,교원역량강화,1,1,월드,, ,35.90167735,128.5096899
7251118,대구삼육초등학교(사립),동부,대구광역시 수성구 청수로 22-23,,6,0,6, ,,, ,, ,35.83981668,128.6106512
7271084,대구상원초등학교,남부,대구광역시 달서구 월곡로20길 15 ,다,11,1,12, ,,, ,, ,35.80636651,128.5506746
7271062,대구상인초등학교,남부,대구광역시 달서구 월곡로 211,나,21,2,23, ,,, ,, ,35.81289419,128.5426248
7251259,대구새론초등학교,동부,대구광역시 동구 과학로13길 5 ,나,39,2,41,통일교육,1,2,관심,, ,35.88439053,128.7170845
7261055,대구서도초등학교,서부,대구광역시 서구 평리로 395 ,다,11,1,12, ,,, ,, ,35.86727153,128.5653531
7281110,대구서동초등학교,달성,대구광역시 달성군 다사읍 서재로7길 55 ,나,50,2,52, ,,, ,, ,35.87195638,128.4883234
7261091,대구서변초등학교,서부,대구광역시 북구 호국로43길 35 ,나,15,1,16, ,,, ,, ,35.92073334,128.5949656
7261040,대구서부초등학교,서부,대구광역시 서구 달서로26길 25 ,다,12,2,14, ,,, ,, ,35.87387969,128.5737138
7281027,대구서재초등학교,달성,대구광역시 달성군 다사읍 서재로 100 ,나,21,2,23, ,,, ,, ,35.87193759,128.4983723
7261067,대구서평초등학교,서부,대구광역시 서구 서대구로45길 60 ,라,7,2,9,학교자율성(IB후보),1,2,후보,, ,35.87833333,128.5475424
7271092,대구선원초등학교,남부,대구광역시 달서구 선원로33길 105 ,다,11,0,11, ,,, ,, ,35.86093922,128.5156422
7271100,대구성곡초등학교,남부,대구광역시 달서구 선원남로 127 ,나,12,1,13, ,,, ,, ,35.85809667,128.5137013
7271054,대구성남초등학교,남부,대구광역시 달서구 성당로47길 35 ,다,19,1,20, ,,, ,, ,35.85332963,128.5722856
7271068,대구성당초등학교,남부,대구광역시 달서구 대명천로 118 ,가,28,1,29,교육과정,2,2, ,, ,35.84055853,128.5472902
7251082,대구성동초등학교,동부,대구광역시 수성구 청수로45길 27,가,55,1,56,교육과정,1,3, ,, ,35.84171003,128.6321483
7271056,대구성명초등학교,남부,대구광역시 남구 성당로30길 55,다,11,1,12, ,,, ,, ,35.84606673,128.5710524
7261051,대구성북초등학교,서부,대구광역시 북구 호국로57길 42 ,다,14,1,15, ,,, ,, ,35.92640879,128.5942863
7271093,대구성산초등학교,남부,대구광역시 달서구 선원남로 173 ,나,15,2,17, ,,, ,, ,35.85790477,128.5187097
